# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        229.44462206       4.44619540e-15    -1.205249758548e-03     1.677313154367e-03     3.623100974619e-03
        230.68486326       1.17211993e-14    -1.205366779146e-03     1.633305418858e-03     3.622036685792e-03
        231.92510446       3.48396727e-15    -1.205468151806e-03     1.593895893072e-03     3.619936936563e-03
        233.16534566       6.80914323e-15    -1.205578884492e-03     1.559611664201e-03     3.616807857888e-03
        234.40558686      -1.49961662e-14    -1.205705705015e-03     1.531109729972e-03     3.612676557763e-03
        235.64582806      -6.74501834e-15    -1.205866752260e-03     1.508787425406e-03     3.607633308030e-03
        236.88606926      -6.10797888e-15    -1.206049324912e-03     1.492954569500e-03     3.601740412797e-03
        238.12631046      -2.44958788e-15    -1.206205515077e-03     1.483908294153e-03     3.595048661240e-03
        239.36655166      -9.12537075e-15    -1.206334041269e-03     1.481852652704e-03     3.587612363557e-03
        240.60679286      -5.34168747e-15    -1.206467404689e-03     1.486706672791e-03     3.579479444138e-03
        241.84703406       4.55262738e-15    -1.206610198351e-03     1.498355946319e-03     3.570724423187e-03
        243.08727526      -5.79070932e-15    -1.206766556174e-03     1.516752792879e-03     3.561524429081e-03
        244.32751646      -2.06600294e-15    -1.206956755986e-03     1.541687002419e-03     3.552082597122e-03
        245.56775766       1.56876070e-14    -1.207182815272e-03     1.572788384274e-03     3.542549783185e-03
        246.80799886       2.35188810e-14    -1.207431472144e-03     1.609612920614e-03     3.533076313142e-03
        248.04824007       2.53601349e-15    -1.207698685483e-03     1.651597903600e-03     3.523848443944e-03
        249.28848127      -1.12696431e-14    -1.207981210940e-03     1.698101314944e-03     3.515030710813e-03
        250.52872247       8.81354852e-15    -1.208274098415e-03     1.748458630582e-03     3.506776204679e-03
        251.76896367      -2.74750387e-15    -1.208573267191e-03     1.801882181714e-03     3.499244933012e-03
        253.00920487      -5.92499053e-15    -1.208856876449e-03     1.857521582172e-03     3.492583917741e-03
        254.24944607       5.02952925e-15    -1.209117011233e-03     1.914570395766e-03     3.486921336246e-03
        255.48968727       1.24735779e-14    -1.209371663433e-03     1.972171798035e-03     3.482395140555e-03
        256.72992847       8.60793692e-16    -1.209625154816e-03     2.029335306995e-03     3.479077335437e-03
        257.97016967      -7.60918442e-16    -1.209856454089e-03     2.085156085019e-03     3.477029682625e-03
        259.21041087       1.41366868e-14    -1.210035752747e-03     2.138764059473e-03     3.476376956635e-03
        260.45065207      -4.55286885e-15    -1.210139667094e-03     2.189309329725e-03     3.477203105662e-03
        261.69089327       1.55788486e-14    -1.210178391104e-03     2.235807281284e-03     3.479533565452e-03
        262.93113447      -5.26016940e-15    -1.210177486724e-03     2.277442029566e-03     3.483298949696e-03
        264.17137567      -4.75640189e-15    -1.210113596251e-03     2.313509870104e-03     3.488399661627e-03
        265.41161687       6.30933407e-16    -1.209952601937e-03     2.343512542876e-03     3.494721114008e-03
        266.65185807      -3.32618191e-15    -1.209694908202e-03     2.366840190020e-03     3.502182836665e-03
        267.89209927       1.09824713e-14    -1.209377172011e-03     2.382920099446e-03     3.510723408408e-03
        269.13234047       8.27443168e-15    -1.209026669483e-03     2.391365488017e-03     3.520203091725e-03
        270.37258167      -7.36946479e-15    -1.208633557443e-03     2.391947201926e-03     3.530370819732e-03
        271.61282287      -6.62103015e-15    -1.208212821796e-03     2.384701591004e-03     3.541056148683e-03
        272.85306407      -1.30044442e-14    -1.207770394446e-03     2.369756888474e-03     3.552046359871e-03
        274.09330527       6.42260554e-15    -1.207298228462e-03     2.347438441159e-03     3.563135371284e-03
        275.33354647       1.18475311e-14    -1.206797516449e-03     2.318192947825e-03     3.574157864864e-03
        276.57378767       1.05018623e-14    -1.206315100649e-03     2.282565547284e-03     3.584972602606e-03
        277.81402887       1.50876309e-15    -1.205881211764e-03     2.241193319530e-03     3.595387441479e-03
        279.05427007       6.31367898e-15    -1.205481154367e-03     2.194741270711e-03     3.605221833098e-03
        280.29451127      -1.01745496e-14    -1.205114042062e-03     2.144118898145e-03     3.614313454920e-03
        281.53475247       1.47848036e-14    -1.204781818478e-03     2.090395566733e-03     3.622483310534e-03
        282.77499367       1.70379264e-15    -1.204514585315e-03     2.034710031294e-03     3.629603347706e-03
        284.01523487       1.97988888e-14    -1.204328562730e-03     1.978114904719e-03     3.635607182343e-03
        285.25547607       5.01268160e-15    -1.204194080825e-03     1.921638033034e-03     3.640409518732e-03
        286.49571728       1.72236597e-14    -1.204095238086e-03     1.866286089477e-03     3.643929893445e-03
        287.73595848       1.98221809e-14    -1.204058763916e-03     1.813018986820e-03     3.646180771574e-03
        288.97619968      -5.04873264e-15    -1.204067671796e-03     1.762749285397e-03     3.647168561655e-03
        290.21644088       6.07770263e-15    -1.204079376217e-03     1.716272181952e-03     3.646858417459e-03
        291.45668208       3.00469143e-15    -1.204112823806e-03     1.674328030286e-03     3.645270656468e-03
        292.69692328       1.47036992e-14    -1.204200830017e-03     1.637565719823e-03     3.642447125892e-03
        293.93716448      -9.54262088e-15    -1.204313053738e-03     1.606544318320e-03     3.638444818580e-03
        295.17740568       8.85973075e-15    -1.204434931646e-03     1.581500439324e-03     3.633357182931e-03
        296.41764688      -1.25643390e-15    -1.204593462043e-03     1.562544274120e-03     3.627329445365e-03
        297.65788808      -6.27515139e-15    -1.204799768666e-03     1.549865202410e-03     3.620466375167e-03
        298.89812928       1.00373739e-14    -1.205050490378e-03     1.543554728677e-03     3.612797027595e-03
        300.13837048      -4.82625773e-15    -1.205336006811e-03     1.543498715882e-03     3.604400990866e-03
        301.37861168      -2.95903804e-15    -1.205625133550e-03     1.549423892378e-03     3.595383103944e-03
        302.61885288      -6.01014847e-15    -1.205909123566e-03     1.561114718918e-03     3.585843103465e-03
        303.85909408      -1.08942188e-14    -1.206198954116e-03     1.578277543727e-03     3.575897474962e-03
        305.09933528       1.52180141e-14    -1.206509281010e-03     1.600437200195e-03     3.565679849113e-03
        306.33957648      -5.63011454e-15    -1.206835515282e-03     1.627166820710e-03     3.555294390367e-03
        307.57981768      -8.91349496e-15    -1.207167905291e-03     1.658103393571e-03     3.544869120027e-03
        308.82005888       3.85247659e-15    -1.207486736482e-03     1.692838045566e-03     3.534563905404e-03
        310.06030008       7.94428454e-15    -1.207771539484e-03     1.730906269668e-03     3.524504157987e-03
        311.30054128      -1.16748996e-14    -1.208018715729e-03     1.771725882504e-03     3.514739558468e-03
        312.54078248      -3.96441170e-15    -1.208242272512e-03     1.814644458260e-03     3.505320056448e-03
        313.78102368       5.14322470e-15    -1.208453842308e-03     1.859035549362e-03     3.496339675813e-03
        315.02126488       1.02689930e-14    -1.208648237018e-03     1.904306071594e-03     3.487963273781e-03
        316.26150608       1.45541733e-14    -1.208818387465e-03     1.949977748016e-03     3.480375230791e-03
        317.50174728       2.13230079e-15    -1.208946323578e-03     1.995632988600e-03     3.473701457633e-03
        318.74198848       2.31046240e-15    -1.209040168589e-03     2.040728128809e-03     3.467989170815e-03
        319.98222968      -1.28863048e-15    -1.209116536280e-03     2.084615269422e-03     3.463295450805e-03
        321.22247088       1.03769863e-14    -1.209177441533e-03     2.126700544415e-03     3.459683512882e-03
        322.46271208       6.35749769e-15    -1.209217402468e-03     2.166472750269e-03     3.457233961502e-03
        323.70295329       2.86733731e-15    -1.209228385027e-03     2.203412701416e-03     3.456025161887e-03
        324.94319449      -1.46154510e-15    -1.209213582001e-03     2.236959946350e-03     3.456104683580e-03
        326.18343569      -9.84805269e-15    -1.209192410612e-03     2.266636592778e-03     3.457479213959e-03
        327.42367689      -9.37005913e-15    -1.209187836782e-03     2.292060855219e-03     3.460159843794e-03
