# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   11.150000     1.2132814182e-02     0.0000000000e+00     0.0000000000e+00
   11.200000     1.2281704882e-02     0.0000000000e+00     0.0000000000e+00
   11.250000     1.2438981991e-02     0.0000000000e+00     0.0000000000e+00
   11.300000     1.2608967517e-02     0.0000000000e+00     0.0000000000e+00
   11.350000     1.2787520913e-02     0.0000000000e+00     0.0000000000e+00
   11.400000     1.2958775299e-02     0.0000000000e+00     0.0000000000e+00
   11.450000     1.3096169758e-02     0.0000000000e+00     0.0000000000e+00
   11.500000     1.3168121131e-02     0.0000000000e+00     0.0000000000e+00
   11.550000     1.3147312070e-02     0.0000000000e+00     0.0000000000e+00
   11.600000     1.3021434348e-02     0.0000000000e+00     0.0000000000e+00
   11.650000     1.2802437854e-02     0.0000000000e+00     0.0000000000e+00
   11.700000     1.2531088587e-02     0.0000000000e+00    -0.0000000000e+00
   11.750000     1.2274222280e-02     0.0000000000e+00    -0.0000000000e+00
   11.800000     1.2113685089e-02     0.0000000000e+00    -0.0000000000e+00
   11.850000     1.2128397189e-02     0.0000000000e+00    -0.0000000000e+00
   11.900000     1.2373578864e-02     0.0000000000e+00    -0.0000000000e+00
   11.950000     1.2862938309e-02     0.0000000000e+00    -0.0000000000e+00
   12.000000     1.3559635842e-02     0.0000000000e+00     0.0000000000e+00
   12.050000     1.4379778019e-02    -0.0000000000e+00     0.0000000000e+00
   12.100000     1.5208544905e-02     0.0000000000e+00     0.0000000000e+00
   12.150000     1.5925017274e-02     0.0000000000e+00     0.0000000000e+00
   12.200000     1.6428828092e-02     0.0000000000e+00     0.0000000000e+00
   12.250000     1.6661072517e-02     0.0000000000e+00     0.0000000000e+00
   12.300000     1.6613799359e-02     0.0000000000e+00     0.0000000000e+00
   12.350000     1.6326186144e-02     0.0000000000e+00     0.0000000000e+00
   12.400000     1.5869727284e-02     0.0000000000e+00     0.0000000000e+00
   12.450000     1.5327863634e-02     0.0000000000e+00     0.0000000000e+00
   12.500000     1.4776431589e-02     0.0000000000e+00     0.0000000000e+00
   12.550000     1.4270052381e-02     0.0000000000e+00     0.0000000000e+00
   12.600000     1.3836928207e-02     0.0000000000e+00     0.0000000000e+00
   12.650000     1.3481634653e-02     0.0000000000e+00     0.0000000000e+00
   12.700000     1.3193347816e-02     0.0000000000e+00     0.0000000000e+00
   12.750000     1.2955930460e-02     0.0000000000e+00     0.0000000000e+00
   12.800000     1.2756375281e-02     0.0000000000e+00     0.0000000000e+00
   12.850000     1.2589041766e-02     0.0000000000e+00     0.0000000000e+00
   12.900000     1.2454715343e-02     0.0000000000e+00     0.0000000000e+00
   12.950000     1.2355493832e-02     0.0000000000e+00     0.0000000000e+00
   13.000000     1.2288344476e-02     0.0000000000e+00     0.0000000000e+00
   13.050000     1.2241087029e-02    -0.0000000000e+00     0.0000000000e+00
   13.100000     1.2193835012e-02    -0.0000000000e+00     0.0000000000e+00
   13.150000     1.2126489281e-02    -0.0000000000e+00     0.0000000000e+00
   13.200000     1.2029615646e-02    -0.0000000000e+00     0.0000000000e+00
   13.250000     1.1913567942e-02    -0.0000000000e+00     0.0000000000e+00
   13.300000     1.1810560134e-02    -0.0000000000e+00     0.0000000000e+00
   13.350000     1.1767018060e-02    -0.0000000000e+00     0.0000000000e+00
   13.400000     1.1827923806e-02    -0.0000000000e+00     0.0000000000e+00
   13.450000     1.2018888309e-02    -0.0000000000e+00    -0.0000000000e+00
   13.500000     1.2333261955e-02    -0.0000000000e+00    -0.0000000000e+00
   13.550000     1.2729820337e-02    -0.0000000000e+00    -0.0000000000e+00
   13.600000     1.3142250999e-02    -0.0000000000e+00    -0.0000000000e+00
   13.650000     1.3496888971e-02    -0.0000000000e+00    -0.0000000000e+00
   13.700000     1.3732119225e-02    -0.0000000000e+00     0.0000000000e+00
   13.750000     1.3812804553e-02    -0.0000000000e+00     0.0000000000e+00
   13.800000     1.3735713759e-02     0.0000000000e+00     0.0000000000e+00
   13.850000     1.3525723574e-02     0.0000000000e+00     0.0000000000e+00
   13.900000     1.3225745792e-02     0.0000000000e+00     0.0000000000e+00
   13.950000     1.2884699398e-02     0.0000000000e+00     0.0000000000e+00
   14.000000     1.2547292650e-02     0.0000000000e+00     0.0000000000e+00
   14.050000     1.2247692504e-02     0.0000000000e+00     0.0000000000e+00
   14.100000     1.2007416146e-02     0.0000000000e+00     0.0000000000e+00
   14.150000     1.1836699351e-02    -0.0000000000e+00    -0.0000000000e+00
   14.200000     1.1738236707e-02    -0.0000000000e+00    -0.0000000000e+00
   14.250000     1.1712126758e-02    -0.0000000000e+00    -0.0000000000e+00
   14.300000     1.1760665639e-02     0.0000000000e+00    -0.0000000000e+00
   14.350000     1.1891301110e-02     0.0000000000e+00    -0.0000000000e+00
   14.400000     1.2116024794e-02     0.0000000000e+00    -0.0000000000e+00
   14.450000     1.2446276874e-02     0.0000000000e+00    -0.0000000000e+00
   14.500000     1.2884180223e-02     0.0000000000e+00     0.0000000000e+00
   14.550000     1.3413027569e-02     0.0000000000e+00     0.0000000000e+00
   14.600000     1.3991322546e-02     0.0000000000e+00     0.0000000000e+00
   14.650000     1.4554310775e-02     0.0000000000e+00     0.0000000000e+00
   14.700000     1.5024557094e-02     0.0000000000e+00     0.0000000000e+00
   14.750000     1.5329513116e-02     0.0000000000e+00     0.0000000000e+00
   14.800000     1.5420753041e-02    -0.0000000000e+00     0.0000000000e+00
   14.850000     1.5288249441e-02    -0.0000000000e+00     0.0000000000e+00
   14.900000     1.4964497038e-02    -0.0000000000e+00     0.0000000000e+00
   14.950000     1.4516939620e-02    -0.0000000000e+00     0.0000000000e+00
   15.000000     1.4031386500e-02    -0.0000000000e+00     0.0000000000e+00
   15.050000     1.3592038619e-02    -0.0000000000e+00     0.0000000000e+00
   15.100000     1.3264228274e-02    -0.0000000000e+00     0.0000000000e+00
   15.150000     1.3084132019e-02    -0.0000000000e+00     0.0000000000e+00
   15.200000     1.3056732570e-02     0.0000000000e+00     0.0000000000e+00
   15.250000     1.3160661021e-02     0.0000000000e+00     0.0000000000e+00
   15.300000     1.3357192319e-02     0.0000000000e+00     0.0000000000e+00
   15.350000     1.3600645653e-02     0.0000000000e+00     0.0000000000e+00
   15.400000     1.3848144114e-02     0.0000000000e+00     0.0000000000e+00
   15.450000     1.4067404494e-02     0.0000000000e+00     0.0000000000e+00
   15.500000     1.4241626860e-02     0.0000000000e+00     0.0000000000e+00
   15.550000     1.4370781944e-02     0.0000000000e+00     0.0000000000e+00
   15.600000     1.4469013605e-02     0.0000000000e+00     0.0000000000e+00
   15.650000     1.4558676918e-02     0.0000000000e+00     0.0000000000e+00
   15.700000     1.4662535054e-02     0.0000000000e+00     0.0000000000e+00
   15.750000     1.4796372501e-02     0.0000000000e+00     0.0000000000e+00
   15.800000     1.4964309634e-02     0.0000000000e+00     0.0000000000e+00
   15.850000     1.5158306893e-02     0.0000000000e+00     0.0000000000e+00
   15.900000     1.5362002837e-02    -0.0000000000e+00     0.0000000000e+00
   15.950000     1.5557639855e-02    -0.0000000000e+00     0.0000000000e+00
   16.000000     1.5733854977e-02    -0.0000000000e+00     0.0000000000e+00
   16.050000     1.5891800650e-02    -0.0000000000e+00     0.0000000000e+00
   16.100000     1.6047441635e-02     0.0000000000e+00     0.0000000000e+00
   16.150000     1.6228841217e-02     0.0000000000e+00     0.0000000000e+00
   16.200000     1.6468611313e-02     0.0000000000e+00     0.0000000000e+00
   16.250000     1.6793174793e-02     0.0000000000e+00     0.0000000000e+00
   16.300000     1.7211693377e-02     0.0000000000e+00     0.0000000000e+00
   16.350000     1.7708038173e-02     0.0000000000e+00     0.0000000000e+00
   16.400000     1.8238725568e-02     0.0000000000e+00     0.0000000000e+00
   16.450000     1.8738284734e-02     0.0000000000e+00     0.0000000000e+00
   16.500000     1.9131390754e-02     0.0000000000e+00     0.0000000000e+00
   16.550000     1.9348917430e-02     0.0000000000e+00     0.0000000000e+00
   16.600000     1.9343591808e-02     0.0000000000e+00     0.0000000000e+00
   16.650000     1.9100783568e-02     0.0000000000e+00     0.0000000000e+00
   16.700000     1.8641330451e-02     0.0000000000e+00     0.0000000000e+00
   16.750000     1.8015789979e-02     0.0000000000e+00     0.0000000000e+00
   16.800000     1.7292211700e-02     0.0000000000e+00     0.0000000000e+00
   16.850000     1.6541386851e-02     0.0000000000e+00     0.0000000000e+00
   16.900000     1.5823843963e-02     0.0000000000e+00     0.0000000000e+00
   16.950000     1.5181617969e-02     0.0000000000e+00     0.0000000000e+00
   17.000000     1.4635726356e-02     0.0000000000e+00    -0.0000000000e+00
   17.050000     1.4188348190e-02     0.0000000000e+00    -0.0000000000e+00
   17.100000     1.3827692128e-02     0.0000000000e+00    -0.0000000000e+00
   17.150000     1.3533622716e-02    -0.0000000000e+00    -0.0000000000e+00
   17.200000     1.3282866505e-02    -0.0000000000e+00    -0.0000000000e+00
   17.250000     1.3053389520e-02    -0.0000000000e+00    -0.0000000000e+00
   17.300000     1.2827886124e-02    -0.0000000000e+00    -0.0000000000e+00
   17.350000     1.2596246979e-02    -0.0000000000e+00     0.0000000000e+00
   17.400000     1.2356714271e-02     0.0000000000e+00     0.0000000000e+00
   17.450000     1.2115524695e-02     0.0000000000e+00     0.0000000000e+00
   17.500000     1.1885237945e-02     0.0000000000e+00     0.0000000000e+00
   17.550000     1.1682374781e-02     0.0000000000e+00     0.0000000000e+00
   17.600000     1.1525068918e-02     0.0000000000e+00     0.0000000000e+00
   17.650000     1.1431026028e-02     0.0000000000e+00     0.0000000000e+00
   17.700000     1.1415443164e-02     0.0000000000e+00     0.0000000000e+00
   17.750000     1.1488211293e-02     0.0000000000e+00     0.0000000000e+00
   17.800000     1.1650134950e-02     0.0000000000e+00     0.0000000000e+00
   17.850000     1.1888999259e-02     0.0000000000e+00     0.0000000000e+00
   17.900000     1.2177458375e-02     0.0000000000e+00     0.0000000000e+00
   17.950000     1.2475020025e-02     0.0000000000e+00     0.0000000000e+00
   18.000000     1.2735301263e-02     0.0000000000e+00     0.0000000000e+00
